Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,35.915001,36.685001,35.915001,36.584999,34.831646,130165600
2017-06-20,36.717499,36.717499,36.235001,36.252499,34.515095,99600400
2017-06-21,36.380001,36.517502,36.152500,36.467499,34.719780,85063200
2017-06-22,36.442501,36.674999,36.279999,36.407501,34.662663,76425200
2017-06-23,36.282501,36.790001,36.277500,36.570000,34.817364,141757600
2017-06-26,36.792500,37.070000,36.345001,36.455002,34.707886,102769600
2017-06-27,36.252499,36.540001,35.904999,35.932499,34.210415,99047600
2017-06-28,36.122501,36.527500,35.790001,36.457500,34.710258,88329600
2017-06-29,36.177502,36.282501,35.570000,35.919998,34.198517,125997600
2017-06-30,36.112499,36.240002,35.945000,36.005001,34.279442,92096400
2017-07-03,36.220001,36.325001,35.775002,35.875000,34.155678,57111200
2017-07-05,35.922501,36.197498,35.680000,36.022499,34.296112,86278400
2017-07-06,35.755001,35.875000,35.602501,35.682499,33.972404,96515200
2017-07-07,35.724998,36.187500,35.724998,36.044998,34.317524,76806800
2017-07-10,36.027500,36.487499,35.842499,36.264999,34.526985,84362400
2017-07-11,36.182499,36.462502,36.095001,36.382500,34.638855,79127200
2017-07-12,36.467499,36.544998,36.205002,36.435001,34.688847,99538000
2017-07-13,36.375000,37.122501,36.360001,36.942501,35.172020,100797600
2017-07-14,36.992500,37.332500,36.832500,37.259998,35.474300,80528400
2017-07-17,37.205002,37.724998,37.142502,37.389999,35.598072,95174000
2017-07-18,37.299999,37.532501,37.167500,37.520000,35.721855,71475200
2017-07-19,37.619999,37.855000,37.487499,37.755001,35.945583,83692000
2017-07-20,37.875000,37.935001,37.547501,37.584999,35.783726,68974800
2017-07-21,37.497501,37.610001,37.220001,37.567501,35.767059,105010400
2017-07-24,37.645000,38.110001,37.474998,38.022499,36.200256,85972800
2017-07-25,37.950001,38.459999,37.950001,38.185001,36.354965,75415600
2017-07-26,38.337502,38.482498,38.264999,38.365002,36.526340,63124000
2017-07-27,38.437500,38.497501,36.825001,37.639999,35.836090,129905200
2017-07-28,37.472500,37.557499,37.297501,37.375000,35.583794,68854800
2017-07-31,37.474998,37.582500,37.032501,37.182499,35.400517,79383600
2017-08-01,37.275002,37.555000,37.102501,37.512501,35.714703,141474400
2017-08-02,39.820000,39.937500,39.040001,39.285000,37.402245,279747200
2017-08-03,39.262501,39.302502,38.755001,38.892502,37.028561,108389200
2017-08-04,39.017502,39.349998,38.922501,39.097500,37.223736,82239600
2017-08-07,39.264999,39.730000,39.167500,39.702499,37.799747,87481200
2017-08-08,39.650002,40.457500,39.567501,40.020000,38.102028,144823600
2017-08-09,39.814999,40.317501,39.777500,40.264999,38.335281,104526000
2017-08-10,39.974998,40.000000,38.657501,38.830002,37.114235,163217200
2017-08-11,39.150002,39.642502,39.017502,39.369999,37.630375,105028400
2017-08-14,39.830002,40.052502,39.687500,39.962502,38.196697,88490800
2017-08-15,40.165001,40.549999,40.035000,40.400002,38.614857,117862000
